Station_ID,State,N_Spells,Mean_Duration_days,Median_Duration_days,SD_Duration_days,Min_Duration_days,Max_Duration_days,P75_Duration_days,P90_Duration_days,P95_Duration_days,P99_Duration_days,Markov_P_ii,Markov_Implied_Expected_Length,Observed_vs_Implied_Ratio
353201,D,2413,7.1276419394944055,3.0,15.272872990073294,1,179,6.0,13.0,24.40000000000009,88.0,0.859801128103739,7.13272501036914,0.9992873591975935
353201,W,937,1.096051227321238,1.0,0.31917928531841894,1,3,1.0,1.0,2.0,2.0,0.08763388510223953,1.096051227321238,1.0
353201,R,2114,1.5709555345316935,1.0,1.021273174629268,1,13,2.0,3.0,4.0,5.0,0.3634447455585667,1.5709555345316937,0.9999999999999999
354201,D,2408,7.076411960132891,3.0,16.467186596361614,1,171,6.0,12.0,25.65000000000009,103.85999999999967,0.8587862425167273,7.081463009143807,0.9992867223899363
354201,W,895,1.0960893854748603,1.0,0.32033314741786106,1,3,1.0,1.0,2.0,2.0,0.08766564729867482,1.0960893854748603,1.0
354201,R,2164,1.6293900184842884,1.0,1.0833866685169684,1,10,2.0,3.0,4.0,6.0,0.38627339761769713,1.6293900184842882,1.0000000000000002
356201,D,2491,6.655158570855078,2.0,16.314267799083925,1,181,5.0,11.0,21.0,99.0,0.849894419306184,6.661977491961416,0.9989764418876278
356201,W,965,1.0984455958549222,1.0,0.3182675946735331,1,3,1.0,1.0,2.0,2.0,0.08962264150943396,1.0984455958549224,0.9999999999999998
356201,R,2236,1.7477638640429338,1.0,1.2567026239944192,1,17,2.0,3.0,4.0,6.0,0.4278403275332651,1.747763864042934,0.9999999999999999
357201,D,2433,6.375256884504727,2.0,16.21043247662231,1,160,5.0,10.800000000000182,21.0,98.71999999999935,0.8490553788223073,6.624946236559138,0.9623107353420434
357201,W,898,1.101336302895323,1.0,0.32676652474001067,1,3,1.0,1.0,2.0,2.0,0.09257375381485249,1.102017937219731,0.9993814671237314
357201,R,2253,2.1003106968486462,1.0,1.927335586023116,1,24,2.0,4.0,6.0,10.0,0.5274468085106383,2.116163890139577,0.992508522915073
381201,D,2356,7.475382003395586,3.0,16.98386360626645,1,174,6.0,13.5,24.0,107.34999999999945,0.8667689335833191,7.505756929637524,0.9959531161844585
381201,W,778,1.0681233933161953,1.0,0.2764675598561623,1,3,1.0,1.0,2.0,2.0,0.06385542168674699,1.0682110682110681,0.9999179236225106
381201,R,2031,1.5056622353520432,1.0,0.9161078744247214,1,12,2.0,3.0,3.0,5.0,0.33617021276595743,1.5064102564102562,0.99950344134008
403201,D,2178,8.188246097337007,3.5,16.89793211698057,1,151,7.0,15.0,28.0,103.92000000000007,0.8779721848362494,8.194852941176467,0.9991937812811426
403201,W,747,1.0870147255689424,1.0,0.3092498119054626,1,3,1.0,1.0,2.0,2.0,0.08004926108374384,1.0870147255689424,1.0
403201,R,1887,1.5373608903020668,1.0,0.9750645238550366,1,9,2.0,3.0,3.0,6.0,0.34953464322647365,1.5373608903020668,1.0
405201,D,2478,6.84180790960452,3.0,16.445675102970895,1,167,6.0,12.0,22.0,106.0,0.8634655532359081,7.324159021406727,0.934142457804041
405201,W,757,1.084544253632761,1.0,0.33843158274664786,1,4,1.0,1.0,2.0,3.0,0.07862407862407862,1.0853333333333333,0.9992729609638462
405201,R,2091,1.593974175035868,1.0,1.0509244220968255,1,14,2.0,3.0,4.0,6.0,0.37636363636363634,1.6034985422740524,0.9940602582496414
407501,D,2417,6.974762101779065,2.0,18.009695012422718,1,165,5.0,11.0,23.199999999999818,118.0,0.8567275747508306,6.979710144927538,0.9992910818578807
407501,W,831,1.0938628158844765,1.0,0.30394732494063387,1,3,1.0,1.0,2.0,2.0,0.0858085808580858,1.0938628158844765,1.0
407501,R,2225,1.698876404494382,1.0,1.2062947891209876,1,12,2.0,3.0,4.0,6.0,0.4113756613756614,1.698876404494382,1.0
431201,D,2325,7.672688172043011,3.0,15.233437659771115,1,138,7.0,14.0,27.0,94.75999999999976,0.869813859609778,7.681309216192937,0.9988776595359874
431201,W,799,1.0926157697121401,1.0,0.2985899046006925,1,3,1.0,1.0,2.0,2.0,0.08476517754868271,1.0926157697121401,1.0
431201,R,1955,1.4434782608695653,1.0,0.8532268654006363,1,8,2.0,2.0,3.0,5.0,0.3072289156626506,1.4434782608695653,1.0
432201,D,2529,6.776986951364176,3.0,16.359879489133146,1,183,6.0,11.0,21.0,100.0,0.8525412849390208,6.781559161060545,0.999325787833184
432201,W,860,1.0965116279069766,1.0,0.3428795660838643,1,4,1.0,1.0,2.0,3.0,0.088016967126193,1.0965116279069766,1.0
432201,R,2251,1.5393158596179475,1.0,0.9640817269237918,1,10,2.0,3.0,3.0,5.0,0.3503607503607504,1.5393158596179477,0.9999999999999999
