Station_ID,Station_Name,Latitude_DD,Longitude_DD,Altitude_m,Start_Date,End_Date,Expected_Days,Actual_Records,Missing_Records,Missing_Pct,Zero_Days,NonZero_Days,Min_Rain_mm,Max_Rain_mm
353201,Loei,17.45,101.73333333333333,253,1961-01-01,2020-09-30,21823,21810,13,0.059570178252302625,14277,7533,0.0,164.1
354201,Udon Thani,17.383333333333333,102.8,177,1961-01-01,2020-09-30,21823,21819,4,0.01832928561609311,14634,7185,0.0,274.5
356201,Sakon Nakhon,17.15,104.13333333333334,171,1961-01-01,2020-09-30,21823,21817,6,0.02749392842413967,14187,7630,0.0,457.1
357201,Nakhon Phanom,17.416666666666668,104.78333333333333,145,1961-01-01,2020-09-30,21823,21504,319,1.4617605278834258,13311,8193,0.0,459.2
381201,Khon Kaen,16.46333333333333,102.78666666666666,165,1961-01-01,2020-09-30,21823,21769,54,0.24744535581725705,15342,6427,0.0,221.9
403201,Chaiyaphum,15.8,102.03333333333333,180,1961-01-01,2020-09-30,21823,21815,8,0.03665857123218622,15687,6128,0.0,162.5
405201,Roi Et,16.05,103.68333333333334,140,1961-01-01,2020-09-30,21823,21382,441,2.0208037391742657,14916,6466,0.0,242.3
407501,Ubon Ratchathani,15.25,104.86666666666666,131,1961-01-01,2020-09-30,21823,21821,2,0.009164642808046556,14702,7119,0.0,203.9
431201,Nakhon Ratchasima,14.962777777777777,102.07666666666667,187,1961-01-01,2020-09-30,21823,21802,21,0.09622874948448884,15256,6546,0.0,152.8
432201,Surin,14.883333333333333,103.5,146,1961-01-01,2020-09-30,21823,21821,2,0.009164642808046556,14840,6981,0.0,279.5
