Station_ID,latitude,longitude,Elevation
351001,17.23,100.1,54.57
351002,17.42,100.13,62.02
351003,17.67,100.68,371.77
351004,17.65,100.38,115.76
351005,17.6,100.05,81.47
351006,17.92,100.88,348.79
351007,18.02,101.07,427.85
351008,17.47,100.37,82.43
351009,17.75,100.28,95.27
351010,17.9,100.82,214.69
351011,17.56,100.11,65.37
351012,17.75,100.92,415.07
351201,17.62,100.1,67.05
