station,model,scenario,scale,period,mk_trend,mk_p_value,mk_slope,mk_intercept,mk_z,mk_tau,mk_s_stat,mk_n,sp_rho,sp_p_value,sp_trend
331002,observed,observed,annual,1981-2014,no trend,0.8240094488897631,0.4000000000000057,1118.4999999999998,0.2223910879825628,0.0285204991087344,16.0,34,0.03850561551462412,0.8288270026887079,no trend
331003,observed,observed,annual,1981-2014,decreasing,0.015048543454401209,-12.238095238095237,1268.7285714285715,-2.4312087050154814,-0.29411764705882354,-165.0,34,-0.4065699006875478,0.017027353677306782,decreasing
331004,observed,observed,annual,1981-2014,decreasing,0.0005225555425920625,-25.19999999999997,1938.7499999999995,-3.46891973764404,-0.41889483065953653,-235.0,34,-0.6085561497326203,0.00013419921592660214,decreasing
331005,observed,observed,annual,1981-2014,decreasing,0.030436062092645155,-22.683333333333355,1919.0250000000003,-2.164368725196709,-0.2620320855614973,-147.0,34,-0.42307104660045836,0.012668691252914192,decreasing
331006,observed,observed,annual,1981-2014,decreasing,0.04698056111666782,-13.512903225806454,1778.8129032258064,-1.9864754053175273,-0.24064171122994651,-135.0,34,-0.39404125286478225,0.021117696958890354,decreasing
331007,observed,observed,annual,1981-2014,no trend,0.17261516227968454,-29.87142857142856,2507.428571428571,-1.3638487857403918,-0.1657754010695187,-93.0,34,-0.3359816653934301,0.0520513953019817,no trend
331008,observed,observed,annual,1981-2014,decreasing,0.0024930275322436746,-21.900000000000006,1828.65,-3.0241864379460863,-0.36541889483065954,-205.0,34,-0.5761650114591291,0.00036254424183000943,decreasing
331009,observed,observed,annual,1981-2014,decreasing,0.010778341787808898,-30.925,2526.8125,-2.549804251601602,-0.3083778966131907,-173.0,34,-0.4982429335370512,0.00271027155157482,decreasing
331010,observed,observed,annual,1981-2014,no trend,0.5531960543178076,-3.377272727272725,1566.8249999999998,-0.5929777329306052,-0.07308377896613191,-41.0,34,-0.14530175706646295,0.412260829709932,no trend
331011,observed,observed,annual,1981-2014,decreasing,0.010778341787808898,-20.100000000000005,1738.4500000000003,-2.549804251601602,-0.3083778966131907,-173.0,34,-0.44812834224598924,0.007863647388712909,decreasing
331201,observed,observed,annual,1981-2014,decreasing,0.006091343192469623,-16.192307692307693,1618.373076923077,-2.742823418451608,-0.3315508021390374,-186.0,34,-0.4753609915317287,0.004494892697929842,decreasing
331301,observed,observed,annual,1981-2014,decreasing,0.022432473003270115,-10.399999999999993,1346.85,-2.28296427178283,-0.27629233511586454,-155.0,34,-0.4093200916730328,0.01622433747355819,decreasing
331401,observed,observed,annual,1981-2014,decreasing,0.009078017205739863,-11.509999999999998,1409.065,-2.609102024894663,-0.3155080213903743,-177.0,34,-0.4621848739495798,0.005924655545536073,decreasing
331402,observed,observed,annual,1981-2014,decreasing,0.009078017205739863,-11.757142857142851,1446.542857142857,-2.609102024894663,-0.3155080213903743,-177.0,34,-0.44262796027501905,0.008757598705086963,decreasing
331002,observed,observed,wet,1981-2014,no trend,0.9291243012099806,0.32499999999998863,967.1875000000001,0.08894665993959078,0.012477718360071301,7.0,34,0.008708938120702826,0.9610126958628061,no trend
331003,observed,observed,wet,1981-2014,decreasing,0.015664078399094894,-11.346153846153847,1127.8615384615384,-2.416649822743849,-0.29233511586452765,-164.0,34,-0.40385056271885533,0.0178537328551315,decreasing
331004,observed,observed,wet,1981-2014,decreasing,0.00018714930865360024,-16.71739130434783,1444.6869565217391,-3.7357597174628125,-0.45098039215686275,-253.0,34,-0.6351413292589763,5.454030310328969e-05,decreasing
331005,observed,observed,wet,1981-2014,decreasing,0.005319924322073621,-13.25,1284.775,-2.7869953447738443,-0.33689839572192515,-189.0,34,-0.5012987012987012,0.0025265296979655886,decreasing
331006,observed,observed,wet,1981-2014,no trend,0.2356398871064984,-3.8500000000000227,1178.5750000000003,-1.1859554658612104,-0.1443850267379679,-81.0,34,-0.22169595110771578,0.20763460471071005,no trend
331007,observed,observed,wet,1981-2014,decreasing,0.0048528248119315,-11.430434782608694,1187.9021739130435,-2.8166442314203746,-0.3404634581105169,-191.0,34,-0.5355233002291825,0.0010993835041800024,decreasing
331008,observed,observed,wet,1981-2014,decreasing,0.0014345606680661316,-14.414285714285711,1346.5857142857142,-3.1876055944167336,-0.3850267379679144,-216.0,34,-0.5931698389990906,0.00021802417750042718,decreasing
331009,observed,observed,wet,1981-2014,no trend,0.05775818863725046,-4.224000000000001,1062.7959999999998,-1.8975287453779366,-0.22994652406417113,-129.0,34,-0.3760122230710466,0.02840576554116177,decreasing
331010,observed,observed,wet,1981-2014,no trend,0.8355864341125854,0.5444444444444545,1067.8666666666663,0.20754220652571181,0.026737967914438502,15.0,34,0.03559969442322383,0.8415753033202167,no trend
331011,observed,observed,wet,1981-2014,decreasing,0.002748612201726397,-12.452173913043483,1225.0108695652175,-2.994537551299556,-0.36185383244206776,-203.0,34,-0.5251336898395721,0.0014283989156255385,decreasing
331201,observed,observed,wet,1981-2014,decreasing,0.005827257313377077,-8.882352941176471,1153.2588235294118,-2.757346458127314,-0.3333333333333333,-187.0,34,-0.4799083269671505,0.004075996118748765,decreasing
