Station_ID,latitude,longitude,Elevation
331002,18.33,100.72,263.299
331003,19.18,100.92,254.352
331004,18.58,100.75,193.396
331005,19.28,100.88,265.305
331006,18.7,101,271.802
331007,18.5,100.52,415.88
331008,19.18,100.98,506.674
331009,19.35,100.75,780.522
331010,18.85,100.45,N/A
331011,19.15,101.16,780.025
331201,18.78,100.78,202.021
331301,18.87,100.75,287.326
331401,19.11,100.8,226.717
331402,19.41,100.89,342.87
