station,selected_model,AICc_Gumbel,AICc_GEV,AICc_LP3,deltaAICc_selected,GEV_shape_xi,R2,R5,R10,R25,R50,R100
351001,LP3,354.40558386435794,356.5044035868142,351.0680430601976,0.0,-0.0207859787417901,85.56426739727874,128.90314330743885,166.0339311162391,224.306845377151,277.21089919364266,339.4059115346809
351002,Gumbel,320.41379895643723,322.8257300180518,322.80545489087984,0.0,0.001838023969074,70.99386870476573,95.50226876292876,111.7289621476874,132.23143225546016,147.44133580046122,162.53893180519736
351003,LP3,355.4499606110376,357.7028967812896,343.45408832231874,0.0,0.0158963560420954,95.9218545542073,133.709280741027,144.89517966427965,151.18444190799823,153.16721133822008,154.11850688969363
351004,Gumbel,340.1341895378557,342.4601469818944,340.74929464971007,0.0,-0.0142278563700638,82.7495726842833,114.40507456037278,135.36377123844784,161.84514005162345,181.49053220538644,200.99086586723988
351005,Gumbel,320.45025881525225,322.75990954188023,322.0931024124467,0.0,0.0112619617780194,73.21576441282653,98.24480132824968,114.81620161462226,135.75420980638455,151.28722038253025,166.7055376468115
351006,LP3,309.9028356804592,308.6488395098908,291.61982590106953,0.0,-0.0455836355452678,37.35285230286457,57.95511828410408,78.4775898097518,115.10467882425078,152.5211239753345,201.11596401031937
351007,LP3,327.7294857865624,329.05888277412254,304.0672533423335,0.0,-0.0183260573279476,36.552997738204695,61.59473686532272,88.02402976162571,137.92563307731368,191.66397573160188,264.66475318003563
351008,LP3,333.9409453274364,336.20131202553245,332.35071119894207,0.0,-0.0108533456777677,51.49390703958397,84.26931876241235,112.29734054570426,156.10689728922034,195.64934394908883,241.83844885440823
351009,LP3,251.76677219247165,253.87803897527493,249.50774656175696,0.0,-0.0144960343167725,26.078687925034217,35.68590039347767,43.51803007674627,55.27259444952411,65.51639264690118,77.16215779000675
351010,Gumbel,249.31623017464912,251.6496784409601,249.90586233269275,0.0,-0.0051135163080448,27.11703607803098,35.34264969865956,40.78872164977322,47.6698479972622,52.77466061135762,57.8417800904173
351011,LP3,376.5283618191307,378.5870248715879,373.44118074057104,0.0,-0.0282459802088362,85.62778508513775,153.81778292785933,226.6185295037547,365.7715642410738,517.2251866360631,724.6511710270137
351012,Gumbel,365.4137709669282,367.71983956901926,365.9807094997466,0.0,-0.012827348920935,99.88162028771688,145.78471916153438,176.17656477642618,214.5767422780628,243.06418758785432,271.34128607317666
351201,LP3,342.21760019143767,344.50648963658034,338.5766012155152,0.0,-0.0034001244301502,78.04535536891132,114.9476871958842,147.2281465239906,198.7415797449989,246.2269025681102,302.77509354188606
