station,n,P,W,S,max_daily,selected_model,logL_Gumbel,logL_GEV,logL_LP3,AICc_Gumbel,AICc_GEV,AICc_LP3,deltaAICc_selected,Akaike_weight_Gumbel,Akaike_weight_GEV,Akaike_weight_LP3,GEV_shape_xi,gumbel_loc,gumbel_scale,gev_c,gev_loc,gev_scale,lp3_skew,lp3_loc,lp3_scale,ll_dominance_ok,nesting_ok,R2,R5,R10,R25,R50,R100
351001,34,996.5529411764707,79.70588235294117,17.80671606869551,259.6,LP3,-175.0092435450822,-174.8522017934071,-172.13402153009878,354.40558386435794,356.5044035868142,351.06804306019757,0.0,0.1502452535295892,0.052607522414603015,0.7971472240558077,-0.020785978741790133,79.75164804907546,32.989852912832745,0.020785978741790133,76.03608779991546,31.066869111965815,0.8667701376064557,4.5131658084135875,0.44764598738257944,True,True,85.56426739727874,128.90314330743885,166.0339311162391,224.306845377151,277.21089919364266,339.4059115346809
351002,34,983.6558823529413,81.17647058823529,14.993455104214474,170.0,Gumbel,-158.01335109112185,-158.0128650090259,-158.00272744543992,320.41379895643723,322.8257300180518,322.80545489087984,0.0,0.6242757596411117,0.18690989624009294,0.1888143441187953,0.0018380239690740678,63.06866067669871,21.62327051250891,-0.0018380239690740678,63.0981765474487,21.64248461087078,-0.0423198655275121,4.260569208162753,0.35621183638400555,True,True,70.99386870476573,95.50226876292876,111.7289621476874,132.23143225546016,147.44133580046122,162.53893180519736
351003,34,1376.185294117647,123.17647058823529,14.72908508717072,155.0,LP3,-175.53143191842202,-175.4514483906448,-168.32704416115936,355.44996061103757,357.7028967812896,343.45408832231874,0.0,0.002475730356436758,0.0008025728581499844,0.9967216967854133,0.015896356042095428,67.34421013437546,37.33336982857782,-0.015896356042095428,65.72680373726695,37.95792319402226,-2.0536266553742513,4.335948317972841,0.7264466061875953,True,True,95.9218545542073,133.709280741027,144.89517966427965,151.18444190799823,153.16721133822008,154.11850688969363
351004,34,1100.0235294117647,83.73529411764706,16.41695003625097,181.3,Gumbel,-167.8735463818311,-167.8300734909472,-166.97464732485503,340.1341895378557,342.4601469818944,340.74929464971007,0.0,0.48832941359835924,0.15262920511165817,0.35904138128998264,-0.01422785637006385,72.51322771661921,27.929015302976953,0.01422785637006385,71.5008141301638,27.102007989514277,0.7875504238044551,4.412284638799548,0.4204232065294648,True,True,82.7495726842833,114.40507456037278,135.36377123844784,161.84514005162345,181.49053220538644,200.99086586723988
351005,34,1106.0029411764706,96.20588235294117,14.857120256509983,152.0,Gumbel,-158.03158102052936,-157.9799547709401,-157.64655120622334,320.45025881525225,322.75990954188023,322.0931024124467,0.0,0.5698270459238123,0.1795596605158148,0.25061329356037293,0.011261961778019499,65.12219960132715,22.08261798425742,-0.011261961778019499,65.2327729585686,21.755543110663666,-0.32139603900162167,4.290818642206593,0.34491832467169,True,True,73.21576441282653,98.24480132824968,114.81620161462226,135.75420980638455,151.28722038253025,166.7055376468115
351006,34,1147.2058823529412,175.1764705882353,8.536365689007402,143.5,LP3,-152.75786945313283,-150.9244197549454,-142.40991295053476,309.9028356804592,308.6488395098908,291.61982590106953,0.0,0.00010709304666607358,0.00020047632036965439,0.9996924306329643,-0.045583635545267814,36.47024010324198,15.618275406703674,0.045583635545267814,37.23636841095234,13.39112459848387,1.4942711655239016,3.733298356905168,0.4720705815534666,True,True,37.35285230286457,57.95511828410408,78.4775898097518,115.10467882425078,152.5211239753345,201.11596401031937
351007,34,1203.0558823529414,181.76470588235293,8.795690613121403,201.1,LP3,-161.67119450618443,-161.12944138706126,-148.63362667116675,327.7294857865624,329.05888277412254,304.0672533423335,0.0,7.274559918951571e-06,3.7422417311119034e-06,0.9999889831983498,-0.018326057327947655,35.98056456170701,20.23444181876289,0.018326057327947655,32.79263092013511,19.103337708903737,1.445684978123195,3.7288912253668935,0.5607373537703663,True,True,36.552997738204695,61.594736865322716,88.02402976162571,137.92563307731368,191.66397573160188,264.66475318003563
351008,34,1133.5617647058823,177.73529411764707,8.425709325805656,176.6,LP3,-164.77692427662143,-164.70065601276622,-162.77535559947103,333.9409453274364,336.20131202553245,332.35071119894207,0.0,0.28267158631843825,0.09129558253371282,0.6260328311478489,-0.010853345677767724,47.15322984124205,24.911817088259447,0.010853345677767724,45.91138062295644,23.78655756132479,0.5492787157414858,3.9916041616528837,0.5502349375722448,True,True,51.49390703958397,84.26931876241235,112.29734054570426,156.10689728922034,195.64934394908883,241.83844885440823
351009,34,1206.3117647058823,228.76470588235293,4.226309779806171,68.0,LP3,-123.68983770913906,-123.53901948763746,-121.35387328087847,251.76677219247165,253.87803897527493,249.50774656175696,0.0,0.22511770281550827,0.07833464716431472,0.696547650020177,-0.014496034316772523,24.583528019536036,7.3155316072528755,0.014496034316772523,24.02681323389666,6.929592536293889,1.001016286550969,3.3169790216318633,0.3403429582765136,True,True,26.078687925034217,35.68590039347767,43.51803007674627,55.27259444952411,65.51639264690118,77.16215779000675
351010,34,1176.5294117647059,219.7058823529412,4.448282384416461,54.2,Gumbel,-122.46456670022779,-122.42483922048004,-121.55293116634637,249.31623017464912,251.6496784409601,249.90586233269275,0.0,0.4863685808062692,0.1514480406366306,0.3621833785571003,-0.005113516308044887,24.45714400236404,7.257294153356538,0.005113516308044887,24.4221280337143,7.265460208483944,0.7765585782054529,3.310551297917172,0.3321327831548522,True,True,27.11703607803098,35.34264969865956,40.78872164977322,47.6698479972622,52.77466061135762,57.8417800904173
351011,34,1108.2411764705882,90.20588235294117,18.908364003354166,296.9,LP3,-186.07063252246857,-185.89351243579395,-183.32059037028552,376.5283618191307,378.5870248715879,373.44118074057104,0.0,0.16560090177739523,0.05916020844357464,0.7752388897790301,-0.02824598020883627,84.6052549052389,46.84053146037899,0.02824598020883627,84.732664456973,43.96925397230609,1.2543448893951508,4.578331511334311,0.6306372327010767,True,True,85.62778508513775,153.81778292785933,226.6185295037547,365.7715642410738,517.2251866360631,724.6511710270137
351012,34,944.1411764705882,78.6470588235294,18.791409816981925,298.5,Gumbel,-180.51333709636734,-180.45991978450962,-179.5903547498733,365.4137709669282,367.71983956901926,365.98070949974664,0.0,0.48336178736827357,0.15258641852304897,0.36405179410867744,-0.012827348920935037,85.03807249003987,40.49938478054187,0.012827348920935037,83.52528015843512,38.929624372257535,0.23359114772804912,4.577016018975431,0.4919782258293988,True,True,99.88162028771687,145.78471916153438,176.17656477642618,214.5767422780628,243.06418758785432,271.34128607317666
351201,34,1064.8470588235296,92.52941176470588,16.245528297417568,226.0,LP3,-168.91525170862207,-168.85324481829016,-165.8883006077576,342.21760019143767,344.50648963658034,338.5766012155152,0.0,0.13345179122281192,0.04249113966034542,0.8240570691168427,-0.003400124430150203,73.89757679185908,27.339135029183137,0.003400124430150203,73.87034804963344,27.673759638059565,1.0597099655664768,4.429962379456441,0.4191610956610681,True,True,78.04535536891132,114.94768719588419,147.2281465239906,198.74157974499886,246.2269025681102,302.77509354188606
