T,prov_mean,prov_median,prov_q75,prov_q90,below_count,above_count,worst_neg_err_pct,worst_pos_err_pct,med_abs_err_pct
2,65.430428429142,73.21576441282653,85.56426739727874,93.8630406603934,8,5,-34.492023416656146,150.89616708182666,27.064408569434935
5,96.93557553763625,98.24480132824968,128.90314330743885,143.3696314774329,7,6,-36.980254368183736,174.27365057270376,27.502732046412987
10,121.99746141761915,114.81620161462226,147.2281465239906,174.14803804438876,6,7,-46.166157866805044,199.0960649983926,26.52257246610053
25,161.26858517694802,151.18444190799823,198.7415797449989,222.36082475733338,5,8,-55.91002665514516,238.30312441149403,21.959342363766044
50,198.09530558665787,181.49053220538644,243.06418758785432,271.01409986853616,4,9,-61.70037525143872,275.36064333121607,29.332710216437036
100,243.47310833160674,201.11596401031937,271.34128607317666,332.079747936122,5,8,-66.40133652353809,320.9294872167033,28.26491818286189
