result_id,region,source_dataset,sha256_hash,analysis_function,table_id,figure_id,validation_status
RES_Observed_Rain_daily_198101_201412_Uttaradit.csv,Uttaradit,CMIP6Uttaradit/paper3/inputs/observations/Observed_Rain_daily_198101_201412_Uttaradit.csv,db2b52e4e6d8013ea307595d57633b521181e8e63e4562a5d72dd3602fbba880,run_pipeline,Table_01 to Table_06,Figure_01 to Figure_06,PASSED
RES_noaa_cpc_oni_ersstv6_2026-09-01.html,Uttaradit,CMIP6Uttaradit/paper3/inputs/enso/noaa_cpc_oni_ersstv6_2026-09-01.html,ab9278cf270a412c89b6a9b8fd5641a5167e67a706f43695411a310e211d5c5e,run_pipeline,Table_01 to Table_06,Figure_01 to Figure_06,PASSED
