Simulation,wet_day_pct |bias| (%),PRCPTOT |bias| (%),SDII |bias| (%),q95 |bias| (%),Rx1day |bias| (%),Rx5day |bias| (%),CDD |bias| (%),CWD |bias| (%)
Raw CMIP6,71.14,40.82,45.25,48.17,49.11,34.52,47.63,89.99
QDM-corrected,0.03,1.19,0.01,0.02,7.27,25.52,41.28,35.05
