source_type,season_type,metric,phase,saved_pct,recomputed_pct,absolute_difference
OBSERVED,RAINY,PRCPTOT,EL_NINO,-7.165562049647206,-7.1655620496471935,1.2434497875801753e-14
OBSERVED,RAINY,PRCPTOT,LA_NINA,2.7211073544193534,2.7211073544193667,1.3322676295501878e-14
OBSERVED,RAINY,wet_day_frequency_pct,EL_NINO,-0.116959064327497,-0.11695906432747875,1.824929096727601e-14
OBSERVED,RAINY,wet_day_frequency_pct,LA_NINA,-2.3558897243107846,-2.3558897243107664,1.8207657603852567e-14
OBSERVED,RAINY,Rx1day,EL_NINO,-24.272930648769567,-24.272930648769577,1.0658141036401503e-14
OBSERVED,RAINY,Rx1day,LA_NINA,0.5004549590536891,0.5004549590536891,0.0
OBSERVED,RAINY,CDD,EL_NINO,17.948717948717952,17.948717948717952,0.0
OBSERVED,RAINY,CDD,LA_NINA,-5.828571428571433,-5.828571428571433,0.0
OBSERVED,HOT_DRY,PRCPTOT,EL_NINO,-28.704249466711577,-28.704249466711577,0.0
OBSERVED,HOT_DRY,PRCPTOT,LA_NINA,13.267463433576395,13.267463433576395,0.0
OBSERVED,HOT_DRY,wet_day_frequency_pct,EL_NINO,-10.389610389610386,-10.389610389610386,0.0
OBSERVED,HOT_DRY,wet_day_frequency_pct,LA_NINA,33.00318358684118,33.00318358684121,2.842170943040401e-14
OBSERVED,HOT_DRY,Rx1day,EL_NINO,-27.18039302274233,-27.18039302274233,0.0
OBSERVED,HOT_DRY,Rx1day,LA_NINA,-12.618483412322249,-12.618483412322265,1.5987211554602254e-14
OBSERVED,HOT_DRY,CDD,EL_NINO,-9.614980012623612,-9.614980012623613,1.7763568394002505e-15
OBSERVED,HOT_DRY,CDD,LA_NINA,-18.531468531468526,-18.531468531468526,0.0
RAW,RAINY,PRCPTOT,EL_NINO,-12.227499397447376,-12.227499397447376,0.0
RAW,RAINY,PRCPTOT,LA_NINA,-10.007119332755302,-10.007119332755302,0.0
RAW,RAINY,wet_day_frequency_pct,EL_NINO,-4.385964912280716,-4.385964912280716,0.0
RAW,RAINY,wet_day_frequency_pct,LA_NINA,-6.775847317288572,-6.775847317288572,0.0
RAW,RAINY,Rx1day,EL_NINO,-12.744207894277068,-12.744207894277068,0.0
RAW,RAINY,Rx1day,LA_NINA,-12.91039571759894,-12.910395717598941,1.7763568394002505e-15
RAW,RAINY,CDD,EL_NINO,13.069908814589676,13.069908814589677,1.7763568394002505e-15
RAW,RAINY,CDD,LA_NINA,16.199073688881487,16.199073688881487,0.0
RAW,HOT_DRY,PRCPTOT,EL_NINO,-10.359435970411395,-10.359435970411404,8.881784197001252e-15
RAW,HOT_DRY,PRCPTOT,LA_NINA,-0.3898516003121454,-0.38985160031214544,5.551115123125783e-17
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,-4.75285171102663,-4.75285171102663,0.0
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,4.747708299230662,4.74770829923064,2.220446049250313e-14
RAW,HOT_DRY,Rx1day,EL_NINO,-17.11861942625012,-17.11861942625012,0.0
RAW,HOT_DRY,Rx1day,LA_NINA,6.196335618203353,6.196335618203353,0.0
RAW,HOT_DRY,CDD,EL_NINO,4.837584477872248,4.837584477872248,0.0
RAW,HOT_DRY,CDD,LA_NINA,-3.872356660126447,-3.8723566601264467,4.440892098500626e-16
QDM,RAINY,PRCPTOT,EL_NINO,-14.529967679926417,-14.529967679926415,1.7763568394002505e-15
QDM,RAINY,PRCPTOT,LA_NINA,-15.034857590769636,-15.034857590769645,8.881784197001252e-15
QDM,RAINY,wet_day_frequency_pct,EL_NINO,-6.96387894565572,-6.96387894565572,0.0
QDM,RAINY,wet_day_frequency_pct,LA_NINA,-4.691713119597121,-4.691713119597121,0.0
QDM,RAINY,Rx1day,EL_NINO,-5.664124677444983,-5.664124677444983,0.0
QDM,RAINY,Rx1day,LA_NINA,-28.310817030097997,-28.310817030097986,1.0658141036401503e-14
QDM,RAINY,CDD,EL_NINO,11.936758893280627,11.936758893280627,0.0
QDM,RAINY,CDD,LA_NINA,3.357554281467325,3.357554281467325,0.0
QDM,HOT_DRY,PRCPTOT,EL_NINO,14.410533971452898,14.410533971452898,0.0
QDM,HOT_DRY,PRCPTOT,LA_NINA,20.27920759507841,20.27920759507845,3.907985046680551e-14
QDM,HOT_DRY,wet_day_frequency_pct,EL_NINO,-1.66166587706831,-1.6616658770682995,1.0436096431476471e-14
QDM,HOT_DRY,wet_day_frequency_pct,LA_NINA,11.48648648648648,11.48648648648649,8.881784197001252e-15
QDM,HOT_DRY,Rx1day,EL_NINO,-2.069419597162503,-2.0694195971624882,1.4654943925052066e-14
QDM,HOT_DRY,Rx1day,LA_NINA,22.968104259946017,22.96810425994604,2.1316282072803006e-14
QDM,HOT_DRY,CDD,EL_NINO,13.276595744680854,13.276595744680854,0.0
QDM,HOT_DRY,CDD,LA_NINA,0.5535055350553453,0.5535055350553453,0.0
