source_type,season_type,metric,model,grid_signature,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
RAW,RAINY,wet_day_frequency_pct,ACCESS-ESM1-5,grid_91a222defd5ca790,EL_NINO,4,13,46.60326086956522,49.289297658862864,-2.6860367892976456,-5.449533502968592,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_07764f63e0a851cb,EL_NINO,11,4,59.2391304347826,61.95652173913044,-2.717391304347835,-4.385964912280716,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_75b745206e31761f,EL_NINO,11,4,64.42687747035573,68.20652173913044,-3.779644268774703,-5.541470481709525,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_a881af875d124648,EL_NINO,11,4,63.14229249011857,64.80978260869566,-1.667490118577085,-2.5728987993139087,True
RAW,RAINY,wet_day_frequency_pct,CanESM5,grid_a0c557522bffc319,EL_NINO,5,10,65.21739130434783,70.32608695652173,-5.108695652173907,-7.2642967542503785,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_9303f05137547d56,EL_NINO,6,10,36.95652173913043,36.46739130434783,0.4891304347826022,1.3412816691505038,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_9da29437bf4e821a,EL_NINO,6,10,28.71376811594203,27.22826086956522,1.4855072463768124,5.455755156353962,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_a66ff45ee66c4de6,EL_NINO,6,10,33.78623188405797,32.01086956521739,1.7753623188405783,5.546123372948496,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_dc4d6a079af8a48b,EL_NINO,6,10,20.47101449275362,17.93478260869565,2.5362318840579725,14.14141414141415,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_e28e705640008453,EL_NINO,6,10,35.5072463768116,36.35869565217391,-0.851449275362306,-2.341803687095132,True
RAW,RAINY,wet_day_frequency_pct,FGOALS-g3,grid_55d8abe4f8a2fad6,EL_NINO,6,4,13.496376811594203,12.63586956521739,0.8605072463768124,6.810035842293914,True
RAW,RAINY,wet_day_frequency_pct,FGOALS-g3,grid_bec124c723ff4cc0,EL_NINO,6,4,18.47826086956522,18.88586956521739,-0.40760869565217206,-2.158273381294954,True
RAW,RAINY,wet_day_frequency_pct,MIROC6,grid_646dc39f1698cf7c,EL_NINO,12,4,59.10326086956521,62.63586956521739,-3.532608695652179,-5.6399132321041305,True
RAW,RAINY,wet_day_frequency_pct,MIROC6,grid_e76c7caef96c7398,EL_NINO,12,4,53.84963768115943,60.32608695652174,-6.476449275362313,-10.735735735735725,True
RAW,RAINY,wet_day_frequency_pct,MRI-ESM2-0,grid_6cf183365c07226e,EL_NINO,7,3,53.338509316770185,57.971014492753625,-4.6325051759834395,-7.991071428571433,True
RAW,RAINY,wet_day_frequency_pct,MRI-ESM2-0,grid_734a0a607f8697f4,EL_NINO,7,3,60.559006211180126,64.1304347826087,-3.5714285714285765,-5.569007263922526,True
RAW,RAINY,wet_day_frequency_pct,MRI-ESM2-0,grid_f7737890dbe1030c,EL_NINO,7,3,70.96273291925466,70.10869565217389,0.8540372670807699,1.2181616832779978,True
RAW,RAINY,wet_day_frequency_pct,ACCESS-ESM1-5,grid_4c2bd7de50b3b1f5,LA_NINA,2,13,33.96739130434783,31.270903010033447,,,False
RAW,RAINY,wet_day_frequency_pct,ACCESS-ESM1-5,grid_91a222defd5ca790,LA_NINA,2,13,55.434782608695656,49.289297658862864,,,False
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_07764f63e0a851cb,LA_NINA,5,4,65.0,61.95652173913044,3.0434782608695627,4.912280701754382,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_75b745206e31761f,LA_NINA,5,4,69.67391304347827,68.20652173913044,1.467391304347828,2.1513944223107595,True
RAW,RAINY,wet_day_frequency_pct,CESM2,grid_a881af875d124648,LA_NINA,5,4,67.06521739130434,64.80978260869566,2.2554347826086882,3.4800838574423363,True
RAW,RAINY,wet_day_frequency_pct,CanESM5,grid_a0c557522bffc319,LA_NINA,7,10,64.75155279503106,70.32608695652173,-5.574534161490675,-7.926694634577158,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_9303f05137547d56,LA_NINA,4,10,32.06521739130435,36.46739130434783,-4.402173913043477,-12.07153502235469,True
RAW,RAINY,wet_day_frequency_pct,EC-Earth3,grid_9da29437bf4e821a,LA_NINA,4,10,23.777173913043477,27.22826086956522,-3.451086956521742,-12.674650698602806,True
