source_type,season_type,metric,phase,response_absolute,response_pct,ci_low_absolute,ci_high_absolute,ci_low_pct,ci_high_pct,permutation_p_pct,valid_bootstrap_repetitions,n_groups,n_phase_min,n_phase_median,n_neutral_min,n_neutral_median,resampling_unit,bootstrap_repetitions,permutation_repetitions,permutation_p_bh_primary
OBSERVED,RAINY,PRCPTOT,EL_NINO,-64.05833333333362,-7.165562049647206,-171.11468750000017,37.6007291666669,-18.760849144378465,4.364156386745571,0.2794,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.4707310344827586
OBSERVED,RAINY,PRCPTOT,LA_NINA,24.460714285714175,2.7211073544193534,-93.33035714285704,142.55464285714285,-10.214091896214873,17.27757040149603,0.6744,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.7895414634146342
OBSERVED,RAINY,wet_day_frequency_pct,EL_NINO,-0.0452898550724683,-0.11695906432749707,-5.593297101449274,2.0380434782608465,-12.287936991133327,2.8209900590110806,0.9658,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.98
OBSERVED,RAINY,wet_day_frequency_pct,LA_NINA,-0.9122670807453446,-2.3558897243107846,-3.9208074534161454,3.561723602484463,-9.583032327975396,6.312916843604008,0.4178,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.6469161290322581
OBSERVED,RAINY,Rx1day,EL_NINO,-11.391666666666673,-24.272930648769567,-28.271250000000013,1.271145833333331,-40.11986466413925,3.047169954868963,0.1652,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.43344000000000005
OBSERVED,RAINY,Rx1day,LA_NINA,0.15714285714285836,0.5004549590536891,-17.25218749999998,20.358348214285673,-26.827211669139956,35.80288814948589,0.98,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.98
OBSERVED,RAINY,CDD,EL_NINO,1.166666666666667,17.948717948717952,-0.4166666666666665,3.416666666666667,-6.666666666666667,40.954212454212424,0.0708,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.43344000000000005
OBSERVED,RAINY,CDD,LA_NINA,-0.7321428571428577,-5.828571428571433,-1.5,1.2857142857142865,-19.049450549450547,14.28571428571428,0.5484,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.7114378378378379
OBSERVED,HOT_DRY,PRCPTOT,EL_NINO,-73.0482142857143,-28.704249466711577,-152.0231845238096,10.43640624999993,-55.479554236033316,6.068543583607663,0.1586,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.43344000000000005
OBSERVED,HOT_DRY,PRCPTOT,LA_NINA,26.02083333333337,13.267463433576395,-46.13130208333329,97.07093750000001,-15.556307677747926,57.98885137042955,0.4872,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.7086545454545454
OBSERVED,HOT_DRY,wet_day_frequency_pct,EL_NINO,-1.1838989739542223,-10.389610389610386,-4.558011049723757,2.091924822415148,-34.6938775510204,18.129073154941715,0.5162,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.7114378378378379
OBSERVED,HOT_DRY,wet_day_frequency_pct,LA_NINA,2.5322283609576433,33.00318358684118,0.018363887493723977,6.042899894764535,0.0,53.08672994602647,0.0278,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.43344000000000005
OBSERVED,HOT_DRY,Rx1day,EL_NINO,-14.19761904761905,-27.18039302274233,-28.47531250000001,1.2587053571428446,-48.15985616449251,4.231830032584145,0.133,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.43344000000000005
OBSERVED,HOT_DRY,Rx1day,LA_NINA,-6.814285714285717,-12.618483412322249,-15.684270833333333,7.417793560606021,-29.076758850099406,29.26521723966741,0.4538,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.6807
OBSERVED,HOT_DRY,CDD,EL_NINO,-7.428571428571431,-9.614980012623613,-21.5,7.525312499999994,-27.88917804647945,15.506964382442385,0.522,5000,1,8,8.0,8,8.0,management-season climate year,5000,4999,0.7114378378378379
OBSERVED,HOT_DRY,CDD,LA_NINA,-8.5,-18.531468531468526,-26.83437499999999,4.7506249999999905,-36.901593447877005,9.23033732823984,0.1792,5000,1,12,12.0,8,8.0,management-season climate year,5000,4999,0.43344000000000005
RAW,RAINY,PRCPTOT,EL_NINO,-73.27161904761908,-12.227499397447376,-136.19242499999996,3.015345937499806,-23.783303469822428,0.9982166310604329,0.1536,5000,7,4,6.0,3,4.0,management-season climate year,5000,4999,0.43344000000000005
RAW,RAINY,PRCPTOT,LA_NINA,-48.37098541666664,-10.007119332755302,-99.4444547767857,11.278187708333334,-19.99125837786747,3.047479662328929,0.2424,5000,7,2,6.0,3,4.0,management-season climate year,5000,4999,0.4707310344827586
RAW,RAINY,wet_day_frequency_pct,EL_NINO,-2.717391304347835,-4.385964912280716,-5.706830533596839,1.2423168995859146,-10.827782223345315,3.2195244076802974,0.2298,5000,7,4,6.0,3,4.0,management-season climate year,5000,4999,0.4707310344827586
