source_type,season_type,metric,phase_contrast_absolute,phase_contrast_absolute_ci_low,phase_contrast_absolute_ci_high,phase_contrast_absolute_permutation_p,phase_contrast_absolute_valid_bootstrap,phase_contrast_pct,phase_contrast_pct_ci_low,phase_contrast_pct_ci_high,phase_contrast_pct_permutation_p,phase_contrast_pct_valid_bootstrap,neutral_centered_asymmetry_absolute,neutral_centered_asymmetry_absolute_ci_low,neutral_centered_asymmetry_absolute_ci_high,neutral_centered_asymmetry_absolute_permutation_p,neutral_centered_asymmetry_absolute_valid_bootstrap,neutral_centered_asymmetry_pct,neutral_centered_asymmetry_pct_ci_low,neutral_centered_asymmetry_pct_ci_high,neutral_centered_asymmetry_pct_permutation_p,neutral_centered_asymmetry_pct_valid_bootstrap,resampling_unit,bootstrap_repetitions,permutation_repetitions,true_asymmetry_p_bh_primary
OBSERVED,RAINY,PRCPTOT,86.60714285714289,-37.086071428571636,205.9244047619046,0.1668,5000,11.120588451096932,-4.240057787150924,23.407291815583694,0.1248,5000,-29.610714285714266,-233.05386904761903,134.8724702380946,0.7584,5000,-3.485099737913436,-25.38602413848119,16.05797684248686,0.7516,5000,management-season climate year,5000,4999,0.8199272727272728
OBSERVED,RAINY,wet_day_frequency_pct,1.8504140786749588,-2.8995212215320785,5.1630434782608745,0.2876,5000,1.9694935096236725,-5.800321750321729,10.422976748875735,0.4986,5000,-2.4650621118012452,-8.942481884057957,4.794416407867485,0.3966,5000,-6.057715239685198,-20.584669524519164,7.27946942654298,0.3036,5000,management-season climate year,5000,4999,0.7805714285714287
OBSERVED,RAINY,Rx1day,12.409523809523819,-1.3507142857142806,33.404642857142825,0.216,5000,14.769752147614179,-2.888270230049805,50.986782073077855,0.42,5000,-11.57380952380953,-38.14967261904761,18.752291666666626,0.4676,5000,-22.959255462421343,-58.38439640692138,37.37400998583685,0.4514,5000,management-season climate year,5000,4999,0.7805714285714287
OBSERVED,RAINY,CDD,-1.904761904761905,-3.5005952380952357,-0.0952380952380949,0.0358,5000,-19.390819390819402,-40.692640692640694,-1.3507360390964873,0.0638,5000,1.2261904761904763,-1.5,4.2857142857142865,0.3618,5000,8.837408837408839,-20.105820105820097,48.49558214090233,0.6252,5000,management-season climate year,5000,4999,0.7805714285714287
OBSERVED,HOT_DRY,PRCPTOT,101.49999999999997,33.328949404761914,162.209375,0.0102,5000,46.029102271113324,15.097030737391712,82.74210742727612,0.0142,5000,-45.30000000000001,-188.61937499999985,87.33902083333321,0.5436,5000,-15.145910195415139,-61.870708806059504,52.517228785993545,0.6766,5000,management-season climate year,5000,4999,0.7805714285714287
OBSERVED,HOT_DRY,wet_day_frequency_pct,4.558011049723758,1.0587016574585575,8.379949355432773,0.0144,5000,43.768996960486334,9.913991671501831,69.07787314670904,0.003,5000,1.0260457774269938,-2.7280732044198888,6.813996316758748,0.7532,5000,15.476190476190492,-31.32430576348642,58.74059267268725,0.5624,5000,management-season climate year,5000,4999,0.7805714285714287
OBSERVED,HOT_DRY,Rx1day,10.295714285714297,-0.6179166666666618,21.82759374999999,0.1122,5000,20.49696609945918,-1.8467714821917354,48.0995909702806,0.2166,5000,-13.062500000000014,-38.64317234848484,7.554375000000005,0.2428,5000,-23.896638463297528,-67.73722232775678,27.248129292328457,0.4384,5000,management-season climate year,5000,4999,0.7805714285714287
OBSERVED,HOT_DRY,CDD,-2.8857142857142932,-15.44326298701299,8.384166666666655,0.707,5000,-3.635545556805411,-25.82267404861906,13.532082024729078,0.8002,5000,-13.238095238095234,-48.25104166666666,8.542708333333316,0.3582,5000,-24.393882879522554,-62.06044426504224,18.165322580645125,0.3434,5000,management-season climate year,5000,4999,0.7805714285714287
RAW,RAINY,PRCPTOT,1.703397619047621,-37.854663285984785,79.64817225784618,0.957,5000,0.5562889504760982,-7.895214081338422,14.432972553302436,0.9354,5000,-151.02740649350642,-229.62879292613638,-39.231850684523764,0.033,5000,-23.446828952252847,-37.652231220154896,-5.715697303694851,0.123,5000,management-season climate year,5000,4999,0.5904
RAW,RAINY,wet_day_frequency_pct,-0.32026397515527805,-3.350980201863347,3.815671760304915,0.8216,5000,-0.45578365777136287,-7.045474194259534,6.385206294394741,0.882,5000,-4.8686594202898466,-9.58378623188406,0.3754528985507228,0.0998,5000,-12.166853738235037,-21.056924845871787,1.450660694656345,0.0582,5000,management-season climate year,5000,4999,0.4092
