season_type,metric,phase,observed_response_pct,raw_response_pct,qdm_response_pct,raw_absolute_error_vs_observed_pct_points,qdm_absolute_error_vs_observed_pct_points,qdm_moved_toward_observed,raw_model_direction_agreement_with_observed,qdm_model_direction_agreement_with_observed,paired_model_sign_preservation_fraction,n_paired_models,category,magnitude_ratio,shift_pct_points,sign_preserved
RAINY,PRCPTOT,EL_NINO,-7.165562049647206,-12.227499397447376,-14.529967679926415,5.06193734780017,7.364405630279209,False,0.7142857142857143,0.7142857142857143,1.0,7,PRESERVED,1.1883024654214829,-2.3024682824790386,True
RAINY,PRCPTOT,LA_NINA,2.7211073544193534,-10.007119332755302,-15.034857590769636,12.728226687174654,17.75596494518899,False,0.16666666666666666,0.16666666666666666,1.0,6,AMPLIFIED,1.502416139033892,-5.027738258014335,True
RAINY,wet_day_frequency_pct,EL_NINO,-0.11695906432749707,-4.385964912280716,-6.96387894565572,4.26900584795322,6.8469198813282235,False,0.5714285714285714,1.0,0.5714285714285714,7,INDETERMINATE_RAW_NEAR_ZERO,,-2.577914033375004,True
RAINY,wet_day_frequency_pct,LA_NINA,-2.3558897243107846,-6.775847317288572,-4.691713119597121,4.419957592977788,2.335823395286336,True,0.8333333333333334,0.8333333333333334,1.0,6,ATTENUATED,0.692417184139645,2.0841341976914514,True
RAINY,Rx1day,EL_NINO,-24.272930648769567,-12.744207894277068,-5.664124677444983,11.528722754492499,18.608805971324585,False,0.8571428571428571,0.7142857142857143,0.5714285714285714,7,ATTENUATED,0.4444469773589085,7.080083216832085,True
RAINY,Rx1day,LA_NINA,0.5004549590536891,-12.910395717598941,-28.310817030097994,13.41085067665263,28.81127198915168,False,0.16666666666666666,0.16666666666666666,0.6666666666666666,6,AMPLIFIED,2.192869812000093,-15.400421312499052,True
RAINY,CDD,EL_NINO,17.948717948717952,13.069908814589677,11.936758893280627,4.878809134128275,6.011959055437325,False,0.8571428571428571,0.7142857142857143,0.5714285714285714,7,PRESERVED,0.9133008548579821,-1.13314992130905,True
RAINY,CDD,LA_NINA,-5.828571428571433,16.199073688881487,3.357554281467325,22.02764511745292,9.186125710038757,True,0.0,0.5,0.5,6,ATTENUATED,0.20726828866590316,-12.841519407414163,True
HOT_DRY,PRCPTOT,EL_NINO,-28.704249466711577,-10.359435970411397,14.410533971452898,18.34481349630018,43.11478343816447,False,0.8571428571428571,0.42857142857142855,0.5714285714285714,7,REVERSED,1.3910539157355901,24.769969941864296,False
HOT_DRY,PRCPTOT,LA_NINA,13.267463433576395,-0.38985160031214544,20.279207595078415,13.65731503388854,7.011744161502019,True,0.42857142857142855,0.5714285714285714,0.8571428571428571,7,INDETERMINATE_RAW_NEAR_ZERO,,20.66905919539056,False
HOT_DRY,wet_day_frequency_pct,EL_NINO,-10.389610389610386,-4.75285171102663,-1.66166587706831,5.636758678583756,8.727944512542075,False,0.8571428571428571,0.7142857142857143,0.8571428571428571,7,INDETERMINATE_RAW_NEAR_ZERO,,3.0911858339583205,True
HOT_DRY,wet_day_frequency_pct,LA_NINA,33.00318358684118,4.747708299230662,11.48648648648648,28.25547528761052,21.5166971003547,True,0.7142857142857143,0.8571428571428571,0.8571428571428571,7,INDETERMINATE_RAW_NEAR_ZERO,,6.738778187255819,True
HOT_DRY,Rx1day,EL_NINO,-27.18039302274233,-17.11861942625012,-2.069419597162503,10.061773596492209,25.110973425579825,False,0.7142857142857143,0.5714285714285714,0.5714285714285714,7,ATTENUATED,0.12088706137068524,15.049199829087618,True
HOT_DRY,Rx1day,LA_NINA,-12.618483412322249,6.196335618203353,22.968104259946017,18.8148190305256,35.586587672268266,False,0.42857142857142855,0.42857142857142855,1.0,7,AMPLIFIED,3.706723727564275,16.771768641742664,True
HOT_DRY,CDD,EL_NINO,-9.614980012623613,4.837584477872248,13.276595744680854,14.452564490495861,22.891575757304466,False,0.42857142857142855,0.14285714285714285,0.7142857142857143,7,INDETERMINATE_RAW_NEAR_ZERO,,8.439011266808606,True
HOT_DRY,CDD,LA_NINA,-18.531468531468526,-3.8723566601264467,0.5535055350553453,14.65911187134208,19.08497406652387,False,0.8571428571428571,0.42857142857142855,0.5714285714285714,7,INDETERMINATE_RAW_NEAR_ZERO,,4.425862195181792,False
