model,member_id,station,block_start,block_end,month,calibration_months,sparse_fallback_used,n_target_observations_used,n_observed_calibration,n_model_calibration,n_observed_wet,n_model_wet,n_target,n_target_wet,observed_wet_fraction,model_wet_threshold_mm
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,1,"12,1,2",True,0,2610,2610,71,71,155,9,0.027203065134099615,5.357652873563216
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,2,"1,2,3",True,0,2579,2610,115,117,140,14,0.04459092671578131,3.5149472663823165
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,3,3,False,0,868,899,67,70,155,18,0.0771889400921659,1.91236866359447
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,4,4,False,0,840,870,90,94,150,31,0.10714285714285714,2.142142857142858
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,5,5,False,0,899,899,246,246,155,36,0.27363737486095663,1.8043781979977758
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,6,6,False,0,870,870,268,268,150,62,0.3080459770114943,2.302232183908046
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,7,7,False,0,899,899,287,287,155,67,0.3192436040044494,1.3909577308120133
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,8,8,False,0,899,899,289,289,155,50,0.32146829810901,1.3286429365962182
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,9,9,False,0,870,870,390,390,150,50,0.4482758620689655,1.4137931034482758
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,10,10,False,0,899,899,440,440,155,88,0.489432703003337,0.9549154616240271
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,11,11,False,0,870,870,140,140,150,30,0.16091954022988506,2.832609195402299
ACCESS-ESM1-5,r1i1p1f1,351001,1981,1985,12,"11,12,1",True,0,2668,2668,186,186,155,13,0.06971514242878561,4.273139430284857
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,1,"12,1,2",True,0,2610,2610,65,65,155,7,0.02490421455938697,5.545494252873553
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,2,"1,2,3",True,0,2579,2610,110,112,140,5,0.04265219077161691,3.7801721597518387
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,3,3,False,0,868,899,70,73,155,6,0.08064516129032258,2.032548387096773
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,4,4,False,0,840,870,89,93,150,19,0.10595238095238095,2.280854761904762
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,5,5,False,0,899,899,263,263,155,41,0.2925472747497219,1.6847552836484985
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,6,6,False,0,870,870,274,274,150,35,0.31494252873563217,2.5201494252873564
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,7,7,False,0,899,899,287,287,155,43,0.3192436040044494,1.4652769744160177
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,8,8,False,0,899,899,314,314,155,45,0.3492769744160178,1.273349276974416
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,9,9,False,0,870,870,403,403,150,69,0.4632183908045977,1.293485057471264
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,10,10,False,0,899,899,423,423,155,86,0.47052280311457173,1.0382347052280314
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,11,11,False,0,870,870,154,154,150,24,0.17701149425287357,2.77147816091954
ACCESS-ESM1-5,r1i1p1f1,351001,1986,1990,12,"11,12,1",True,0,2668,2668,200,200,155,14,0.07496251874062969,4.039124437781114
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,1,"12,1,2",True,0,2610,2610,74,74,155,0,0.028352490421455937,5.6049639846743355
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,2,"1,2,3",True,0,2579,2610,112,114,140,4,0.04342768514928267,3.8830632027917793
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,3,3,False,0,868,899,62,65,155,9,0.07142857142857142,2.0957142857142865
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,4,4,False,0,840,870,92,96,150,17,0.10952380952380952,2.2737142857142842
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,5,5,False,0,899,899,267,267,155,45,0.29699666295884314,1.6327519466073408
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,6,6,False,0,870,870,268,268,150,64,0.3080459770114943,2.2973080459770117
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,7,7,False,0,899,899,291,292,155,64,0.3236929922135706,1.39
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,8,8,False,0,899,899,300,300,155,54,0.3337041156840934,1.2910033370411569
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,9,9,False,0,870,870,387,387,150,80,0.44482758620689655,1.3104482758620688
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,10,10,False,0,899,899,431,431,155,84,0.4794215795328142,1.0003971078976637
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,11,11,False,0,870,870,180,180,150,30,0.20689655172413793,2.4295172413793114
ACCESS-ESM1-5,r1i1p1f1,351001,1991,1995,12,"11,12,1",True,0,2668,2668,225,225,155,8,0.0843328335832084,4.0120963268365815
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,1,"12,1,2",True,0,2610,2610,66,66,155,3,0.02528735632183908,5.828416091954019
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,2,"1,2,3",True,0,2610,2610,101,101,140,2,0.03869731800766284,4.098270881226052
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,3,3,False,0,899,899,56,56,155,7,0.06229143492769744,2.304245828698554
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,4,4,False,0,870,870,81,81,150,8,0.09310344827586207,2.75358275862069
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,5,5,False,0,899,899,263,263,155,41,0.2925472747497219,1.6847552836484985
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,6,6,False,0,870,870,264,264,150,25,0.30344827586206896,2.7328206896551728
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,7,7,False,0,899,899,277,278,155,29,0.3081201334816463,1.602
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,8,8,False,0,899,899,313,313,155,52,0.3481646273637375,1.2626963292547273
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,9,9,False,0,870,870,373,373,150,43,0.42873563218390803,1.5378586206896558
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,10,10,False,0,899,899,435,435,155,51,0.4838709677419355,1.177483870967742
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,11,11,False,0,870,870,166,166,150,23,0.19080459770114944,2.661098850574712
ACCESS-ESM1-5,r1i1p1f1,351001,1996,2000,12,"11,12,1",True,0,2668,2668,208,208,155,7,0.07796101949025487,4.186949025487249
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,1,"12,1,2",True,0,2610,2610,71,71,155,3,0.027203065134099615,5.671979310344825
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,2,"1,2,3",True,0,2579,2610,109,111,140,3,0.04226444358278403,3.786660333462583
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,3,3,False,0,868,899,60,63,155,17,0.06912442396313365,2.024926267281106
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,4,4,False,0,840,870,90,94,150,26,0.10714285714285714,2.166142857142858
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,5,5,False,0,899,899,246,246,155,46,0.27363737486095663,1.717368186874305
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,6,6,False,0,870,870,278,278,150,43,0.3195402298850575,2.3542781609195407
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,7,7,False,0,899,899,284,284,155,32,0.31590656284760843,1.523947719688543
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,8,8,False,0,899,899,305,305,155,64,0.339265850945495,1.2434104560622914
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,9,9,False,0,870,870,397,397,150,69,0.45632183908045976,1.3191942528735634
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,10,10,False,0,899,899,433,433,155,64,0.48164627363737483,1.1224082313681873
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,11,11,False,0,870,870,174,174,150,33,0.2,2.4510000000000005
ACCESS-ESM1-5,r1i1p1f1,351001,2001,2005,12,"11,12,1",True,0,2668,2668,218,218,155,5,0.08170914542728636,4.0578598200899565
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,1,"12,1,2",True,0,2610,2610,69,69,155,10,0.026436781609195402,5.438114942528752
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,2,"1,2,3",True,0,2579,2610,108,110,140,1,0.04187669639395114,3.854462194649088
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,3,3,False,0,868,899,62,65,155,16,0.07142857142857142,2.0235714285714286
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,4,4,False,0,840,870,80,83,150,5,0.09523809523809523,2.7701904761904768
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,5,5,False,0,899,899,243,243,155,61,0.27030033370411566,1.6846218020022246
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,6,6,False,0,870,870,260,260,150,51,0.2988505747126437,2.506482758620688
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,7,7,False,0,899,899,284,284,155,61,0.31590656284760843,1.4142113459399335
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,8,8,False,0,899,899,304,304,155,55,0.3381535038932147,1.2733381535038932
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,9,9,False,0,870,870,392,392,150,89,0.45057471264367815,1.2696045977011499
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,10,10,False,0,899,899,428,428,155,67,0.4760845383759733,1.131952169076752
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,11,11,False,0,870,870,175,175,150,17,0.20114942528735633,2.6230114942528733
ACCESS-ESM1-5,r1i1p1f1,351001,2006,2010,12,"11,12,1",True,0,2668,2668,219,219,155,21,0.0820839580209895,3.977328335832084
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,1,"12,1,2",True,0,2759,2759,70,70,93,2,0.025371511417180137,5.7192537151141725
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,2,"1,2,3",True,0,2759,2790,114,116,84,1,0.041319318593693366,4.0406042044218955
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,3,3,False,0,930,961,68,71,93,3,0.07311827956989247,2.0941935483870955
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,4,4,False,0,900,930,94,98,90,1,0.10444444444444445,2.5254977777777774
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,5,5,False,0,930,930,266,266,124,27,0.2860215053763441,1.7162860215053763
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,6,6,False,0,900,900,272,272,120,37,0.3022222222222222,2.520022222222222
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,7,7,False,0,930,930,282,282,124,39,0.3032258064516129,1.5064258064516125
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,8,8,False,0,930,930,311,311,124,37,0.33440860215053764,1.3106720430107524
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,9,9,False,0,900,900,406,406,120,59,0.45111111111111113,1.3213533333333334
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,10,10,False,0,930,930,422,422,124,65,0.45376344086021503,1.1742688172043012
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,11,11,False,0,900,900,157,157,120,34,0.17444444444444446,2.6357100000000004
ACCESS-ESM1-5,r1i1p1f1,351001,2011,2014,12,"11,12,1",True,0,2791,2791,202,202,124,5,0.07237549265496238,4.191447509853097
ACCESS-ESM1-5,r1i1p1f1,351002,1981,1985,1,"12,1,2",True,0,2548,2610,62,64,155,9,0.02433281004709576,5.574941915227631
ACCESS-ESM1-5,r1i1p1f1,351002,1981,1985,2,"1,2,3",True,0,2517,2610,104,108,140,13,0.04131903059197457,3.641767580452917
ACCESS-ESM1-5,r1i1p1f1,351002,1981,1985,3,3,False,0,806,899,56,63,155,16,0.06947890818858561,2.032903225806451
ACCESS-ESM1-5,r1i1p1f1,351002,1981,1985,4,4,False,0,840,870,132,137,150,38,0.15714285714285714,1.6363285714285716
ACCESS-ESM1-5,r1i1p1f1,351002,1981,1985,5,5,False,0,899,899,330,330,155,48,0.3670745272525028,1.3039365962180198
ACCESS-ESM1-5,r1i1p1f1,351002,1981,1985,6,6,False,0,870,870,322,322,150,66,0.3701149425287356,1.9167402298850573
