source_type,season_type,metric,station,phase,n_phase,n_neutral,phase_mean,neutral_mean,response_absolute,response_pct,eligible
OBSERVED,RAINY,PRCPTOT,351001,EL_NINO,6,8,670.0833333333333,789.9,-119.81666666666672,-15.168586740937679,True
OBSERVED,RAINY,PRCPTOT,351002,EL_NINO,6,8,807.7499999999999,849.6374999999999,-41.887500000000045,-4.9300436951052715,True
OBSERVED,RAINY,PRCPTOT,351003,EL_NINO,6,8,1084.45,1107.7,-23.25,-2.0989437573350185,True
OBSERVED,RAINY,PRCPTOT,351004,EL_NINO,6,8,849.15,855.4625000000001,-6.312500000000114,-0.7379049344652878,True
OBSERVED,RAINY,PRCPTOT,351005,EL_NINO,6,8,829.9166666666665,893.975,-64.05833333333351,-7.1655620496471935,True
OBSERVED,RAINY,PRCPTOT,351006,EL_NINO,6,8,802.3666666666667,898.925,-96.55833333333328,-10.741533869158527,True
OBSERVED,RAINY,PRCPTOT,351007,EL_NINO,6,8,861.7666666666668,902.2249999999999,-40.458333333333144,-4.484284223262839,True
OBSERVED,RAINY,PRCPTOT,351008,EL_NINO,6,8,791.7833333333333,840.25,-48.4666666666667,-5.7681245661013625,True
OBSERVED,RAINY,PRCPTOT,351009,EL_NINO,6,8,891.0999999999999,975.4625,-84.36250000000007,-8.648461627176859,True
OBSERVED,RAINY,PRCPTOT,351010,EL_NINO,6,8,891.1,947.4875000000001,-56.387500000000045,-5.951265847834408,True
OBSERVED,RAINY,PRCPTOT,351011,EL_NINO,6,8,676.75,778.8,-102.04999999999995,-13.103492552645092,True
OBSERVED,RAINY,PRCPTOT,351012,EL_NINO,6,8,581.8166666666667,711.1875,-129.37083333333328,-18.190819345578106,True
OBSERVED,RAINY,PRCPTOT,351201,EL_NINO,6,8,657.5000000000001,900.475,-242.9749999999999,-26.982981204364354,True
OBSERVED,RAINY,PRCPTOT,351001,LA_NINA,7,8,899.2142857142859,789.9,109.31428571428592,13.83900312878667,True
OBSERVED,RAINY,PRCPTOT,351002,LA_NINA,7,8,861.9142857142857,849.6374999999999,12.27678571428578,1.4449439571918354,True
OBSERVED,RAINY,PRCPTOT,351003,LA_NINA,7,8,1113.9285714285713,1107.7,6.228571428571286,0.5622976824565573,True
OBSERVED,RAINY,PRCPTOT,351004,LA_NINA,7,8,872.9142857142858,855.4625000000001,17.451785714285734,2.0400409970379454,True
OBSERVED,RAINY,PRCPTOT,351005,LA_NINA,7,8,801.242857142857,893.975,-92.732142857143,-10.373012987739367,True
OBSERVED,RAINY,PRCPTOT,351006,LA_NINA,7,8,923.3857142857142,898.925,24.46071428571429,2.7211073544193667,True
OBSERVED,RAINY,PRCPTOT,351007,LA_NINA,7,8,934.0428571428573,902.2249999999999,31.817857142857406,3.526598924088493,True
OBSERVED,RAINY,PRCPTOT,351008,LA_NINA,7,8,836.6142857142858,840.25,-3.6357142857142435,-0.43269435117099,True
OBSERVED,RAINY,PRCPTOT,351009,LA_NINA,7,8,1050.1714285714286,975.4625,74.7089285714286,7.6588211818935745,True
OBSERVED,RAINY,PRCPTOT,351010,LA_NINA,7,8,1015.8714285714286,947.4875000000001,68.38392857142856,7.217396384799646,True
OBSERVED,RAINY,PRCPTOT,351011,LA_NINA,7,8,763.3571428571429,778.8,-15.442857142857065,-1.9829041015481594,True
OBSERVED,RAINY,PRCPTOT,351012,LA_NINA,7,8,783.342857142857,711.1875,72.15535714285704,10.145757221950195,True
OBSERVED,RAINY,PRCPTOT,351201,LA_NINA,7,8,946.0857142857142,900.475,45.61071428571415,5.06518385138001,True
OBSERVED,RAINY,wet_day_frequency_pct,351001,EL_NINO,6,8,30.97826086956522,38.65489130434783,-7.676630434782609,-19.859402460456945,True
OBSERVED,RAINY,wet_day_frequency_pct,351002,EL_NINO,6,8,39.764492753623195,39.266304347826086,0.49818840579710866,1.2687427912341591,True
OBSERVED,RAINY,wet_day_frequency_pct,351003,EL_NINO,6,8,48.27898550724638,51.01902173913044,-2.740036231884055,-5.370616955170878,True
OBSERVED,RAINY,wet_day_frequency_pct,351004,EL_NINO,6,8,38.858695652173914,37.77173913043478,1.0869565217391326,2.8776978417266244,True
OBSERVED,RAINY,wet_day_frequency_pct,351005,EL_NINO,6,8,33.60507246376812,49.252717391304344,-15.647644927536227,-31.77011494252873,True
OBSERVED,RAINY,wet_day_frequency_pct,351006,EL_NINO,6,8,77.53623188405797,76.08695652173914,1.4492753623188293,1.9047619047618896,True
OBSERVED,RAINY,wet_day_frequency_pct,351007,EL_NINO,6,8,80.9782608695652,78.1929347826087,2.785326086956502,3.5621198957428066,True
OBSERVED,RAINY,wet_day_frequency_pct,351008,EL_NINO,6,8,82.15579710144928,72.14673913043478,10.0090579710145,13.873195229127441,True
OBSERVED,RAINY,wet_day_frequency_pct,351009,EL_NINO,6,8,94.1123188405797,93.9538043478261,0.15851449275361063,0.16871535309711846,True
OBSERVED,RAINY,wet_day_frequency_pct,351010,EL_NINO,6,8,92.57246376811594,92.79891304347825,-0.22644927536231307,-0.2440214738896961,True
OBSERVED,RAINY,wet_day_frequency_pct,351011,EL_NINO,6,8,38.677536231884055,38.722826086956516,-0.045289855072461194,-0.11695906432747875,True
OBSERVED,RAINY,wet_day_frequency_pct,351012,EL_NINO,6,8,32.155797101449274,35.80163043478261,-3.6458333333333357,-10.183428209993682,True
OBSERVED,RAINY,wet_day_frequency_pct,351201,EL_NINO,6,8,35.59782608695652,40.692934782608695,-5.095108695652172,-12.520868113522534,True
OBSERVED,RAINY,wet_day_frequency_pct,351001,LA_NINA,7,8,37.11180124223603,38.65489130434783,-1.5430900621118013,-3.991965854883254,True
OBSERVED,RAINY,wet_day_frequency_pct,351002,LA_NINA,7,8,35.55900621118012,39.266304347826086,-3.707298136645967,-9.44142362827485,True
OBSERVED,RAINY,wet_day_frequency_pct,351003,LA_NINA,7,8,56.3664596273292,51.01902173913044,5.347437888198762,10.481263077801033,True
OBSERVED,RAINY,wet_day_frequency_pct,351004,LA_NINA,7,8,35.48136645962733,37.77173913043478,-2.29037267080745,-6.063720452209652,True
OBSERVED,RAINY,wet_day_frequency_pct,351005,LA_NINA,7,8,36.25776397515528,49.252717391304344,-12.994953416149066,-26.384236453201968,True
OBSERVED,RAINY,wet_day_frequency_pct,351006,LA_NINA,7,8,64.75155279503106,76.08695652173914,-11.33540372670808,-14.897959183673475,True
OBSERVED,RAINY,wet_day_frequency_pct,351007,LA_NINA,7,8,68.47826086956522,78.1929347826087,-9.714673913043484,-12.42397914856647,True
OBSERVED,RAINY,wet_day_frequency_pct,351008,LA_NINA,7,8,79.42546583850933,72.14673913043478,7.278726708074544,10.088781275221967,True
OBSERVED,RAINY,wet_day_frequency_pct,351009,LA_NINA,7,8,95.96273291925466,93.9538043478261,2.0089285714285694,2.138208862720791,True
OBSERVED,RAINY,wet_day_frequency_pct,351010,LA_NINA,7,8,94.79813664596274,92.79891304347825,1.9992236024844914,2.1543610123405355,True
OBSERVED,RAINY,wet_day_frequency_pct,351011,LA_NINA,7,8,37.81055900621118,38.722826086956516,-0.9122670807453375,-2.3558897243107664,True
OBSERVED,RAINY,wet_day_frequency_pct,351012,LA_NINA,7,8,36.257763975155285,35.80163043478261,0.45613354037267584,1.2740580103009085,True
OBSERVED,RAINY,wet_day_frequency_pct,351201,LA_NINA,7,8,43.32298136645962,40.692934782608695,2.630046583850927,6.463152873837336,True
OBSERVED,RAINY,Rx1day,351001,EL_NINO,6,8,101.03333333333332,72.875,28.158333333333317,38.63922241280729,True
OBSERVED,RAINY,Rx1day,351002,EL_NINO,6,8,64.38333333333333,85.7125,-21.32916666666668,-24.884546205823746,True
OBSERVED,RAINY,Rx1day,351003,EL_NINO,6,8,90.25,76.9,13.349999999999994,17.360208062418717,True
OBSERVED,RAINY,Rx1day,351004,EL_NINO,6,8,55.54999999999999,89.98750000000001,-34.43750000000002,-38.26920405611892,True
OBSERVED,RAINY,Rx1day,351005,EL_NINO,6,8,64.83333333333333,76.82499999999999,-11.99166666666666,-15.6090682286582,True
OBSERVED,RAINY,Rx1day,351006,EL_NINO,6,8,31.333333333333332,56.6625,-25.32916666666667,-44.7018163100228,True
OBSERVED,RAINY,Rx1day,351007,EL_NINO,6,8,34.13333333333333,45.525,-11.391666666666666,-25.022881200805415,True
OBSERVED,RAINY,Rx1day,351008,EL_NINO,6,8,48.70000000000001,52.525000000000006,-3.8249999999999957,-7.282246549262247,True
OBSERVED,RAINY,Rx1day,351009,EL_NINO,6,8,24.383333333333336,29.612499999999997,-5.229166666666661,-17.658646404952844,True
OBSERVED,RAINY,Rx1day,351010,EL_NINO,6,8,22.316666666666663,31.4,-9.083333333333336,-28.927813163481964,True
OBSERVED,RAINY,Rx1day,351011,EL_NINO,6,8,91.98333333333333,89.2125,2.7708333333333286,3.1058801550604773,True
