model,member_id,grid_label,station,grid_signature
MIROC6,r1i1p1f1,gn,351010,grid_646dc39f1698cf7c
MIROC6,r1i1p1f1,gn,351011,grid_e76c7caef96c7398
MIROC6,r1i1p1f1,gn,351012,grid_646dc39f1698cf7c
MIROC6,r1i1p1f1,gn,351201,grid_e76c7caef96c7398
MRI-ESM2-0,r1i1p1f1,gn,351001,grid_734a0a607f8697f4
MRI-ESM2-0,r1i1p1f1,gn,351002,grid_734a0a607f8697f4
MRI-ESM2-0,r1i1p1f1,gn,351003,grid_734a0a607f8697f4
MRI-ESM2-0,r1i1p1f1,gn,351004,grid_734a0a607f8697f4
MRI-ESM2-0,r1i1p1f1,gn,351005,grid_734a0a607f8697f4
MRI-ESM2-0,r1i1p1f1,gn,351006,grid_6cf183365c07226e
MRI-ESM2-0,r1i1p1f1,gn,351007,grid_f7737890dbe1030c
MRI-ESM2-0,r1i1p1f1,gn,351008,grid_734a0a607f8697f4
MRI-ESM2-0,r1i1p1f1,gn,351009,grid_734a0a607f8697f4
MRI-ESM2-0,r1i1p1f1,gn,351010,grid_6cf183365c07226e
MRI-ESM2-0,r1i1p1f1,gn,351011,grid_734a0a607f8697f4
MRI-ESM2-0,r1i1p1f1,gn,351012,grid_6cf183365c07226e
MRI-ESM2-0,r1i1p1f1,gn,351201,grid_734a0a607f8697f4
