source_type,season_type,metric,phase,model,response_absolute,response_pct,n_grid_signatures,n_phase,n_neutral
RAW,HOT_DRY,PRCPTOT,EL_NINO,FGOALS-g3,-26.804967948717945,-24.306073421787673,2,13,6
RAW,HOT_DRY,PRCPTOT,EL_NINO,MIROC6,-38.36844545454552,-14.217804424127488,2,11,5
RAW,HOT_DRY,PRCPTOT,EL_NINO,MRI-ESM2-0,-3.5428333333333057,-1.75823212353033,3,12,4
RAW,HOT_DRY,PRCPTOT,LA_NINA,ACCESS-ESM1-5,-14.11827083333334,-7.660120525061306,2,8,12
RAW,HOT_DRY,PRCPTOT,LA_NINA,CESM2,66.59818181818179,22.335416626650222,3,11,5
RAW,HOT_DRY,PRCPTOT,LA_NINA,CanESM5,-3.9121333333333155,-1.2026071996171737,1,5,9
RAW,HOT_DRY,PRCPTOT,LA_NINA,EC-Earth3,-67.13260181818183,-31.459330817212674,5,10,11
RAW,HOT_DRY,PRCPTOT,LA_NINA,FGOALS-g3,17.617175757575758,15.988773412493082,2,11,6
RAW,HOT_DRY,PRCPTOT,LA_NINA,MIROC6,146.7616833333333,54.42832034925459,2,12,5
RAW,HOT_DRY,PRCPTOT,LA_NINA,MRI-ESM2-0,-0.7855499999999722,-0.38985160031214544,3,15,4
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,ACCESS-ESM1-5,-1.3812154696132595,-4.391880831559993,2,10,12
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,CESM2,2.2099447513812294,3.809523809523834,3,14,5
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,CanESM5,-2.302025782688773,-4.75285171102663,1,6,9
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,EC-Earth3,-5.351861152966123,-16.050973654066418,5,9,11
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,FGOALS-g3,-1.6574585635359114,-14.366643083641693,2,13,6
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,MIROC6,-0.7584128578603728,-2.8738289574202933,2,11,5
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,MRI-ESM2-0,-2.2099447513812045,-6.837606837606803,3,12,4
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,ACCESS-ESM1-5,1.277624309392266,4.747708299230646,2,8,12
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,CESM2,4.520341536916135,7.792207792207814,3,11,5
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,CanESM5,2.6151012891344365,5.399239543726232,1,5,9
