Scenario,Station,Index,n_models_available,n_sig_increasing,n_sig_decreasing,n_non_sig,median_sen_slope,median_Z,median_p_descriptive_only,sign_agreement_pct,sig_agreement_pct
SSP2-4.5,351001,CDD,7,1,2,4,-0.28,-1.4583761354646265,0.050468016076877495,71.42857142857143,57.142857142857146
SSP2-4.5,351001,CWD,7,0,2,5,0.0,0.861419979144969,0.1045452297316541,42.857142857142854,71.42857142857143
SSP2-4.5,351001,PRCPTOT,7,2,1,4,-0.04250000000000398,0.0,0.2220212157898649,57.142857142857146,57.142857142857146
SSP2-4.5,351001,R10mm,7,2,3,2,0.0,0.0,0.00858317155959889,42.857142857142854,42.857142857142854
SSP2-4.5,351001,R20mm,7,1,1,5,0.0,0.20409897878279112,0.3890532782321724,42.857142857142854,71.42857142857143
SSP2-4.5,351001,R50mm,7,1,1,5,0.0,1.1961716656120753,0.14677078716162978,71.42857142857143,71.42857142857143
SSP2-4.5,351001,R95p,7,1,1,5,1.868421052631579,1.097739650210686,0.16606401089483336,71.42857142857143,71.42857142857143
SSP2-4.5,351001,R99p,7,2,2,3,0.0,0.3797257116729803,0.03556815410200405,71.42857142857143,42.857142857142854
SSP2-4.5,351001,Rx1day,7,1,2,4,0.43500000000000033,1.1759166594679937,0.0546136553080064,57.142857142857146,57.142857142857146
SSP2-4.5,351001,Rx5day,7,3,1,3,1.2360000000000013,1.7917240701564547,0.004038930326678834,71.42857142857143,42.857142857142854
SSP2-4.5,351001,SDII,7,1,1,5,0.029500728104847048,0.826368671573975,0.15874318746683025,71.42857142857143,71.42857142857143
SSP2-4.5,351002,CDD,7,1,2,4,-0.3181818181818182,-1.8797118288315753,0.05974094292928776,71.42857142857143,57.142857142857146
SSP2-4.5,351002,CWD,7,3,2,2,0.0,0.8258377990987177,0.013227469325691464,42.857142857142854,42.857142857142854
SSP2-4.5,351002,PRCPTOT,7,2,1,4,-3.1455172413793075,-1.0183381556720352,0.06874856623891105,57.142857142857146,57.142857142857146
SSP2-4.5,351002,R10mm,7,2,2,3,0.0,-0.3110479972382792,0.004140206283591372,42.857142857142854,42.857142857142854
SSP2-4.5,351002,R20mm,7,2,1,4,0.0,0.1310806306854547,0.40860470949464545,57.142857142857146,57.142857142857146
