Dataset,Station,Year,n_expected_days,n_observed_records,n_valid,completeness_pct,missing_days,status,N_records,N_valid,N_missing,Missing_pct,Min_valid,Max_valid,Median_valid,Mean_valid,Start_date,End_date,Missing_calendar_dates,Status
Observed,351001,1981.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1982.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1983.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1984.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1985.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1986.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1987.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1988.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1989.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1990.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1991.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1992.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1993.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1994.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1995.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1996.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1997.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1998.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,1999.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2000.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2001.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2002.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2003.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2004.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2005.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2006.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2007.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2008.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2009.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2010.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2011.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2012.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2013.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351001,2014.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1981.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1982.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1983.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1984.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1985.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1986.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1987.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1988.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1989.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1990.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1991.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1992.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1993.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1994.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1995.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1996.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1997.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1998.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,1999.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2000.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2001.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2002.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2003.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2004.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2005.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2006.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2007.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2008.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2009.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2010.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2011.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2012.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2013.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351002,2014.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1981.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1982.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1983.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1984.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1985.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1986.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1987.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1988.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1989.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1990.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1991.0,365.0,365.0,365.0,100.0,0.0,OK,,,,,,,,,,,,
Observed,351003,1992.0,366.0,366.0,366.0,100.0,0.0,OK,,,,,,,,,,,,
