Index,Type,Raw CMIP6,QM/EQM,DetQM,QDM
Wet days,marginal,67.22,28.65,28.76,28.65
PRCPTOT,marginal,38.45,15.9,15.1,15.82
SDII,marginal,44.08,26.91,26.97,27.37
q50,marginal,43.2,24.17,26.31,26.52
q90,marginal,47.24,32.31,32.86,33.36
q95,marginal,47.95,31.17,31.93,33.69
q99,marginal,54.81,28.8,27.39,27.61
Rx1day,marginal,47.38,30.96,29.98,26.85
R10mm,marginal,53.39,17.79,17.47,18.75
R20mm,marginal,70.25,35.95,36.12,37.27
R50mm,marginal,124.84,60.71,61.48,61.46
R95p,marginal,74.16,41.81,43.51,45.48
R99p,marginal,88.64,58.74,60.59,60.76
Rx5day,sequence-dependent,35.63,33.59,33.08,31.52
CDD,sequence-dependent,48.42,51.78,51.98,51.47
CWD,sequence-dependent,83.19,38.4,38.48,38.73
