scenario,index,method,n_models,gauges_min,gauges_max,median,q25,q75,mean,sd,min,max,estimator
ssp245,wet_day_pct,qm,7,13,13,0.2862384169030649,-2.0233988872105466,2.220991314367522,0.05535595678427877,3.271817511844194,-4.592943976525849,4.299012402798784,model_level_gauge_mean_then_ensemble_median
ssp245,wet_day_pct,detqm,7,13,13,0.838556720825134,-1.7688207784669325,2.3481916726386327,0.41336885286178315,3.5894035045453867,-4.637716868272694,5.534000329136641,model_level_gauge_mean_then_ensemble_median
ssp245,wet_day_pct,qdm,7,13,13,-0.0933947630414458,-2.1816476053643132,2.494837600735903,-0.04166285643939422,3.3485528066403423,-4.678481105965155,3.853855883187661,model_level_gauge_mean_then_ensemble_median
ssp245,PRCPTOT,qm,7,13,13,1.2654614746633281,0.30222712795439266,3.784459291096279,1.505244858491091,2.6151310046616154,-3.038741929261482,4.136621625934446,model_level_gauge_mean_then_ensemble_median
ssp245,PRCPTOT,detqm,7,13,13,0.8104253068323194,-0.23317887247558577,2.2455380879344626,0.47293214858989086,2.4126739412771614,-4.149598509717336,2.624979812096499,model_level_gauge_mean_then_ensemble_median
ssp245,PRCPTOT,qdm,7,13,13,0.7293152530647967,-0.17869163071100147,2.1241867871539206,0.9691583333863464,1.7409761943187252,-1.3215357658678342,3.485338533621624,model_level_gauge_mean_then_ensemble_median
ssp245,SDII,qm,7,13,13,0.940009943561076,0.3242139774222752,2.7645562251582625,1.998362253876809,4.941274042358136,-4.640004220533765,11.510989648949277,model_level_gauge_mean_then_ensemble_median
ssp245,SDII,detqm,7,13,13,-0.089292540859474,-1.339753990844558,1.6413431922493278,0.6060271972357015,4.941700579741096,-6.179351792777658,9.907656311477503,model_level_gauge_mean_then_ensemble_median
ssp245,SDII,qdm,7,13,13,0.686435678913411,-1.0422598920071298,2.133747831072852,1.566502251774289,4.629214457017598,-2.826007582636995,10.922111788012163,model_level_gauge_mean_then_ensemble_median
ssp245,q50,qm,7,13,13,4.17742899606136,0.7213750603458251,7.361120919959802,3.9598056309790075,5.043400052679618,-3.3806965565243425,10.756915016704783,model_level_gauge_mean_then_ensemble_median
ssp245,q50,detqm,7,13,13,0.8764060905146314,-1.3566097914284687,5.774588840834909,1.316859122792673,6.4027756276119066,-9.316456712680592,8.82210638290179,model_level_gauge_mean_then_ensemble_median
ssp245,q50,qdm,7,13,13,1.2233257423150437,0.8891678357920618,6.34341540613172,3.2492749401436036,4.58517062154919,-2.680892111385966,9.737324466228587,model_level_gauge_mean_then_ensemble_median
ssp245,q90,qm,7,13,13,0.15496358223005496,-0.11536398028372863,3.4801172973853034,3.120934483406409,6.469076708997209,-1.8383082639327553,16.800379431344417,model_level_gauge_mean_then_ensemble_median
