model,station,method,period,acf1_daily,acf1_occurrence,P_wet_given_wet,P_wet_given_dry,mean_wet_spell,p90_wet_spell,max_wet_spell,mean_dry_spell,p90_dry_spell,max_dry_spell,n_wet_spells,n_dry_spells,rx1_over_rx5,acf1_daily_obs,acf1_occurrence_obs,P_wet_given_wet_obs,P_wet_given_dry_obs,mean_wet_spell_obs,p90_wet_spell_obs,max_wet_spell_obs,mean_dry_spell_obs,p90_dry_spell_obs,max_dry_spell_obs,n_wet_spells_obs,n_dry_spells_obs,rx1_over_rx5_obs,acf1_daily_bias_pct,acf1_occurrence_bias_pct,P_wet_given_wet_bias_pct,P_wet_given_dry_bias_pct,mean_wet_spell_bias_pct,p90_wet_spell_bias_pct,max_wet_spell_bias_pct,mean_dry_spell_bias_pct,p90_dry_spell_bias_pct,max_dry_spell_bias_pct,n_wet_spells_bias_pct,n_dry_spells_bias_pct,rx1_over_rx5_bias_pct
ACCESS-ESM1-5,351001,raw,calibration,0.6402923197063604,0.3743357507934259,0.635223880597015,0.2608881298035866,2.741407528641571,6.0,30,3.8307440719542103,9.0,34,1222,1223,0.4092271008385428,0.2372791470210038,0.3278995097819267,0.4718969555035129,0.1439974457215836,1.893569844789357,4.0,31,6.93141592920354,14.0,119,902,904,0.6019012288430328,169.84769953243384,14.161729318345788,34.61071812155105,81.17552606315597,44.77456620812044,50.0,-3.225806451612903,-44.73359972795074,-35.714285714285715,-71.42857142857143,35.47671840354767,35.28761061946903,-32.010921189651974
ACCESS-ESM1-5,351001,qm,calibration,0.6544076418158404,0.4143470309690829,0.5398024404416037,0.125455409472517,2.172979797979798,4.0,21,7.962168978562421,19.0,90,792,793,0.4221983074706254,0.2372791470210038,0.3278995097819267,0.4718969555035129,0.1439974457215836,1.893569844789357,4.0,31,6.93141592920354,14.0,119,902,904,0.6019012288430328,175.7965249082392,26.36402879792321,14.38989680822074,-12.876642468309694,14.755724694249288,0.0,-32.25806451612903,14.870743003837037,35.714285714285715,-24.369747899159663,-12.195121951219512,-12.278761061946902,-29.855882121694638
ACCESS-ESM1-5,351001,detqm,calibration,0.6544076418158403,0.4149053244861612,0.5365269461077844,0.1216216216216216,2.157622739018088,4.0,21,8.212903225806452,19.0,90,774,775,0.4221983074706255,0.2372791470210038,0.3278995097819267,0.4718969555035129,0.1439974457215836,1.893569844789357,4.0,31,6.93141592920354,14.0,119,902,904,0.6019012288430328,175.79652490823918,26.534292400162084,13.695784609441157,-15.53904236831066,13.944713735030176,0.0,-32.25806451612903,18.48810271511382,35.714285714285715,-24.369747899159663,-14.19068736141907,-14.269911504424778,-29.85588212169463
ACCESS-ESM1-5,351001,qdm,calibration,0.6544035531678147,0.4143470309690829,0.5398024404416037,0.125455409472517,2.172979797979798,4.0,21,7.962168978562421,19.0,90,792,793,0.4221983074706254,0.2372791470210038,0.3278995097819267,0.4718969555035129,0.1439974457215836,1.893569844789357,4.0,31,6.93141592920354,14.0,119,902,904,0.6019012288430328,175.79480176986948,26.36402879792321,14.38989680822074,-12.876642468309694,14.755724694249288,0.0,-32.25806451612903,14.870743003837037,35.714285714285715,-24.369747899159663,-12.195121951219512,-12.278761061946902,-29.855882121694638
ACCESS-ESM1-5,351001,raw,validation,0.6314803956369863,0.3779008717946137,0.6609829488465396,0.2830820770519263,2.9497041420118344,6.0,26,3.528803545051699,8.0,24,676,677,0.4102510574633801,0.2472106288716175,0.3349549421866298,0.4870259481037924,0.1520710059171597,1.9494163424124515,4.0,17,6.56504854368932,13.0,128,514,515,0.3706206206206205,155.4422512168477,12.821404970957367,35.71822023447392,86.15124911196708,51.31216856228372,50.0,52.94117647058823,-46.24862982248965,-38.46153846153846,-81.25,31.51750972762646,31.45631067961165,10.692992952307042
ACCESS-ESM1-5,351001,qm,validation,0.617736679891366,0.4114203801526018,0.5551401869158878,0.143719806763285,2.2478991596638656,5.0,19,6.945492662473795,14.0,62,476,477,0.3197900493592915,0.2472106288716175,0.3349549421866298,0.4870259481037924,0.1520710059171597,1.9494163424124515,4.0,17,6.56504854368932,13.0,128,514,515,0.3706206206206205,149.88273469915066,22.82857433504209,13.985751493795007,-5.491644579785341,15.311394018685322,25.0,11.764705882352942,5.794993232002495,7.6923076923076925,-51.5625,-7.392996108949417,-7.378640776699029,-13.714987357209369
ACCESS-ESM1-5,351001,detqm,validation,0.6170276911517556,0.4114203801526018,0.5551401869158878,0.143719806763285,2.2478991596638656,5.0,19,6.945492662473795,14.0,62,476,477,0.3327894447625583,0.2472106288716175,0.3349549421866298,0.4870259481037924,0.1520710059171597,1.9494163424124515,4.0,17,6.56504854368932,13.0,128,514,515,0.3706206206206205,149.5959392879474,22.82857433504209,13.985751493795007,-5.491644579785341,15.311394018685322,25.0,11.764705882352942,5.794993232002495,7.6923076923076925,-51.5625,-7.392996108949417,-7.378640776699029,-10.207520508360345
ACCESS-ESM1-5,351001,qdm,validation,0.6010382698752444,0.4114203801526018,0.5551401869158878,0.143719806763285,2.2478991596638656,5.0,19,6.945492662473795,14.0,62,476,477,0.3836683119102069,0.2472106288716175,0.3349549421866298,0.4870259481037924,0.1520710059171597,1.9494163424124515,4.0,17,6.56504854368932,13.0,128,514,515,0.3706206206206205,143.1280048995701,22.82857433504209,13.985751493795007,-5.491644579785341,15.311394018685322,25.0,11.764705882352942,5.794993232002495,7.6923076923076925,-51.5625,-7.392996108949417,-7.378640776699029,3.5204979333684805
ACCESS-ESM1-5,351002,raw,calibration,0.6402923197063604,0.3743357507934259,0.635223880597015,0.2608881298035866,2.741407528641571,6.0,30,3.8307440719542103,9.0,34,1222,1223,0.4092271008385428,0.1880292596874344,0.4545518699259099,0.582313681868743,0.1276740237691001,2.3922872340425534,4.0,94,7.742782152230971,14.0,149,752,762,0.6283228612856451,240.52802248476308,-17.64729713807115,9.08620222668892,104.33923996584114,14.593577628597073,50.0,-68.08510638297872,-50.524966392726974,-35.714285714285715,-77.18120805369128,62.5,60.498687664042,-34.869932951158056
ACCESS-ESM1-5,351002,qm,calibration,0.6670566492072366,0.404008411060273,0.5431769722814499,0.1391685612211757,2.1890315052508758,4.0,21,7.178321678321678,17.0,90,857,858,0.3355126245773566,0.1880292596874344,0.4545518699259099,0.582313681868743,0.1276740237691001,2.3922872340425534,4.0,94,7.742782152230971,14.0,149,752,762,0.6283228612856451,254.76215261183336,-11.119404012984328,-6.720898169814039,9.003035318181508,-8.496292832203553,0.0,-77.65957446808511,-7.290150527438661,21.428571428571427,-39.59731543624161,13.962765957446807,12.598425196850394,-46.601875365342224
