model,station,scenario,window,index,raw_change_pct,method,bc_change_pct,S_mod,S_bc,PE_pct
ACCESS-ESM1-5,351001,ssp245,Near,CDD,4.5614035087719325,qm,-7.118644067796607,1.0456140350877192,0.928813559322034,-11.17051529973836
ACCESS-ESM1-5,351001,ssp245,Near,CWD,7.450980392156858,qm,18.840579710144915,1.0745098039215686,1.1884057971014492,10.599809584258963
ACCESS-ESM1-5,351001,ssp245,Near,PRCPTOT,12.829883934453768,qm,12.764272629086143,1.1282988393445377,1.1276427262908617,-0.0581506450948176
ACCESS-ESM1-5,351001,ssp245,Near,PRCPTOT_dry,16.119059773871008,qm,25.728749095654237,1.16119059773871,1.2572874909565424,8.275720919973894
ACCESS-ESM1-5,351001,ssp245,Near,PRCPTOT_wet,9.918338640585612,qm,6.341214089645231,1.0991833864058562,1.0634121408964523,-3.254347359303696
ACCESS-ESM1-5,351001,ssp245,Near,R10mm,18.120805369127524,qm,3.901895206243037,1.1812080536912752,1.0390189520624304,-12.037600081078338
ACCESS-ESM1-5,351001,ssp245,Near,R20mm,43.08943089430895,qm,10.843373493975886,1.4308943089430894,1.1084337349397588,-22.535596933187307
ACCESS-ESM1-5,351001,ssp245,Near,R50mm,283.3333333333333,qm,36.05442176870748,3.833333333333333,1.3605442176870748,-64.5075421472937
ACCESS-ESM1-5,351001,ssp245,Near,R95p,242.16217281513295,qm,55.69179176798255,3.42162172815133,1.5569179176798251,-54.49766101055789
ACCESS-ESM1-5,351001,ssp245,Near,R99p,184.14329873204292,qm,125.23820965112814,2.8414329873204296,2.252382096511281,-20.730768363629213
ACCESS-ESM1-5,351001,ssp245,Near,Rx1day,76.21981210319007,qm,53.13137456882949,1.7621981210319009,1.531313745688295,-13.102066821431254
ACCESS-ESM1-5,351001,ssp245,Near,Rx5day,41.82126233872263,qm,26.9110286260221,1.4182126233872263,1.269110286260221,-10.513397967851445
